x1,x2
0.022552,0.053619
0.0226,0.054578
0.022646,0.05553
0.022694,0.056579
0.022738,0.057619
0.022779,0.05865
0.022817,0.059673
0.022856,0.060802
0.022892,0.061921
0.022924,0.063031
0.022954,0.064132
0.022983,0.065349
0.02301,0.066556
0.023032,0.067752
0.023052,0.068938
0.023071,0.070252
0.023086,0.071553
0.023098,0.072844
0.023107,0.074123
0.023113,0.075542
0.023116,0.076948
0.023116,0.078342
0.023113,0.079724
0.023105,0.081259
0.023094,0.08278
0.02308,0.084287
0.023063,0.085781
0.02304,0.087444
0.023014,0.089091
0.022985,0.090722
0.022952,0.092339
0.022912,0.094143
0.022868,0.095929
0.022822,0.097698
0.022772,0.09945
0.022712,0.10141
0.02265,0.10335
0.022584,0.10527
0.022515,0.10717
0.022434,0.1093
0.02235,0.11141
0.022263,0.11349
0.022173,0.11556
0.022068,0.11788
0.021961,0.12017
0.02185,0.12245
0.021738,0.12469
0.021607,0.12722
0.021473,0.12972
0.021338,0.1322
0.0212,0.13465
0.02104,0.13741
0.020879,0.14014
0.020715,0.14284
0.02055,0.14551
0.02036,0.14853
0.020168,0.15151
0.019975,0.15446
0.01978,0.15738
0.019557,0.16068
0.019333,0.16394
0.019108,0.16717
0.018883,0.17036
0.018625,0.17398
0.018368,0.17755
0.01811,0.18108
0.017854,0.18458
0.01756,0.18854
0.017268,0.19246
0.016978,0.19633
0.016689,0.20016
0.01636,0.20452
0.016034,0.20882
0.015712,0.21307
0.015393,0.21727
0.01503,0.22205
0.014673,0.22677
0.014321,0.23144
0.013976,0.23604
0.013584,0.2413
0.0132,0.24649
0.012825,0.25161
0.012458,0.25667
0.012045,0.26244
0.011644,0.26814
0.011255,0.27376
0.010878,0.27931
0.010456,0.28566
0.010051,0.29191
0.0096628,0.29808
0.0092911,0.30417
0.0088833,0.31109
0.0084976,0.31791
0.0081339,0.32463
0.0077921,0.33126
0.0074287,0.33872
0.0070936,0.34607
0.0067866,0.35331
0.0065075,0.36046
0.0062226,0.36849
0.0059734,0.3764
0.0057595,0.3842
0.0055807,0.39188
0.0054187,0.40052
0.0053013,0.40902
0.0052279,0.41739
0.0051978,0.42564
0.0052157,0.43491
0.0052886,0.44402
0.0054156,0.453
0.0055959,0.46183
0.0058658,0.47174
0.0062029,0.48149
0.0066062,0.49107
0.0070744,0.5005
0.0076867,0.51107
0.0083807,0.52146
0.0091548,0.53166
0.010008,0.54168
0.011075,0.55291
0.012241,0.56393
0.013503,0.57474
0.014859,0.58534
0.016521,0.5972
0.0183,0.60882
0.020194,0.6202
0.0222,0.63134
0.024625,0.64379
0.027189,0.65595
0.029889,0.66783
0.032722,0.67944
0.036116,0.69237
0.039673,0.70497
0.043389,0.71724
0.04726,0.72919
0.051859,0.74243
0.056647,0.75528
0.061618,0.76774
0.066767,0.77981
0.072751,0.79292
0.078943,0.80556
0.085336,0.81774
0.091923,0.82948
0.099516,0.84209
0.10733,0.85416
0.11536,0.86569
0.1236,0.87669
0.13301,0.88835
0.14266,0.89936
0.15253,0.90974
0.16259,0.91949
0.17402,0.92959
0.18566,0.93893
0.19752,0.94752
0.20956,0.95535
0.22309,0.96316
0.23681,0.97006
0.25071,0.97606
0.26476,0.98117
0.28026,0.98575
0.2959,0.98928
0.31164,0.99177
0.32746,0.99322
0.34395,0.99365
0.36046,0.99298
0.37698,0.99122
0.39346,0.98838
0.41002,0.98444
0.42649,0.97941
